Time(sec),CH1,CH2,CH3,CH4,Wavelength
107.99887,1,0,0,0,1523.66556
108.198867,1,0,0,0,1523.66538
108.398865,1,0,0,0,1523.66726
108.598863,1,0,0,0,1523.66538
108.798861,1,0,0,0,1523.66556
108.998859,1,0,0,0,1523.66726
109.198857,1,0,0,0,1523.66727
109.398855,1,0,0,0,1523.66538
109.598853,1,0,0,0,1523.66349
109.798851,1,0,0,0,1523.66727
109.998848,1,0,0,0,1523.66727
110.198847,1,0,0,0,1523.66538
110.398844,1,0,0,0,1523.66727
110.598842,1,0,0,0,1523.66538
110.79884,1,0,0,0,1523.66349
110.998838,1,0,0,0,1523.66746
111.198836,1,0,0,0,1523.66746
111.398834,1,0,0,0,1523.66727
111.598832,1,0,0,0,1523.66727
111.79883,1,0,0,0,1523.66727
111.998828,1,0,0,0,1523.66727
112.198826,1,0,0,0,1523.66727
112.398823,1,0,0,0,1523.66727
112.598821,1,0,0,0,1523.66708
112.798819,1,0,0,0,1523.66557
112.998817,1,0,0,0,1523.66727
113.198815,1,0,0,0,1523.66558
113.398813,1,0,0,0,1523.66727
113.598811,1,0,0,0,1523.66369
113.798809,1,0,0,0,1523.66558
113.998807,1,0,0,0,1523.66727
114.198805,1,0,0,0,1523.66727
114.398803,1,0,0,0,1523.66916
114.5988,1,0,0,0,1523.66727
114.798798,1,0,0,0,1523.66727
114.998796,1,0,0,0,1523.66727
115.198794,1,0,0,0,1523.66746
115.398792,1,0,0,0,1523.66916
115.59879,1,0,0,0,1523.66897
115.798788,1,0,0,0,1523.66897
115.998786,1,0,0,0,1523.67086
116.198784,1,0,0,0,1523.66727
116.398782,1,0,0,0,1523.66746
116.598779,1,0,0,0,1523.66917
116.798777,1,0,0,0,1523.66917
116.998775,1,0,0,0,1523.66917
117.198773,1,0,0,0,1523.66897
117.398771,1,0,0,0,1523.66917
117.598769,1,0,0,0,1523.66898
117.798767,1,0,0,0,1523.66917
117.998765,1,0,0,0,1523.66917
118.198763,1,0,0,0,1523.66917
118.398761,1,0,0,0,1523.66728
118.598759,1,0,0,0,1523.66728
118.798757,1,0,0,0,1523.67105
118.998755,1,0,0,0,1523.66917
119.198752,1,0,0,0,1523.66728
119.39875,1,0,0,0,1523.66897
119.598748,1,0,0,0,1523.66917
119.798746,1,0,0,0,1523.66897
119.998744,1,0,0,0,1523.66917
120.198742,1,0,0,0,1523.66728
120.39874,1,0,0,0,1523.67086
120.598738,1,0,0,0,1523.66898
120.798736,1,0,0,0,1523.67105
120.998734,1,0,0,0,1523.66917
121.198731,1,0,0,0,1523.66728
121.398729,1,0,0,0,1523.67087
121.598727,1,0,0,0,1523.67087
121.798725,1,0,0,0,1523.66728
121.998723,1,0,0,0,1523.66917
122.198721,1,0,0,0,1523.66917
122.398719,1,0,0,0,1523.66728
122.598717,1,0,0,0,1523.66728
122.798715,1,0,0,0,1523.66728
122.998713,1,0,0,0,1523.66917
123.19871,1,0,0,0,1523.67086
123.398709,1,0,0,0,1523.66746
123.598706,1,0,0,0,1523.66728
123.798704,1,0,0,0,1523.66728
123.998702,1,0,0,0,1523.66917
124.1987,1,0,0,0,1523.66558
124.398698,1,0,0,0,1523.67105
124.598696,1,0,0,0,1523.66747
124.798694,1,0,0,0,1523.66728
124.998692,1,0,0,0,1523.66728
125.19869,1,0,0,0,1523.66917
125.398688,1,0,0,0,1523.66728
125.598686,1,0,0,0,1523.66898
125.798683,1,0,0,0,1523.66728
125.998681,1,0,0,0,1523.66917
126.198679,1,0,0,0,1523.66898
126.398677,1,0,0,0,1523.66917
126.598675,1,0,0,0,1523.66917
126.798673,1,0,0,0,1523.67087
126.998671,1,0,0,0,1523.66917
127.198669,1,0,0,0,1523.67087
127.398667,1,0,0,0,1523.66917
127.598665,1,0,0,0,1523.66728
127.798662,1,0,0,0,1523.66898
127.99866,1,0,0,0,1523.67106
128.198658,1,0,0,0,1523.67087
128.398656,1,0,0,0,1523.66917
128.598654,1,0,0,0,1523.67087
128.798652,1,0,0,0,1523.66917
128.99865,1,0,0,0,1523.67087
129.198648,1,0,0,0,1523.67106
129.398646,1,0,0,0,1523.67087
129.598644,1,0,0,0,1523.66918
129.798641,1,0,0,0,1523.67106
129.998639,1,0,0,0,1523.67276
130.198637,1,0,0,0,1523.67106
130.398635,1,0,0,0,1523.66899
130.598633,1,0,0,0,1523.66918
130.798631,1,0,0,0,1523.67106
130.998629,1,0,0,0,1523.67106
131.198627,1,0,0,0,1523.67276
131.398625,1,0,0,0,1523.67107
131.598623,1,0,0,0,1523.67088
131.798621,1,0,0,0,1523.67088
131.998619,1,0,0,0,1523.67107
132.198617,1,0,0,0,1523.67107
132.398614,1,0,0,0,1523.67276
132.598612,1,0,0,0,1523.67276
132.79861,1,0,0,0,1523.67276
132.998608,1,0,0,0,1523.67277
133.198606,1,0,0,0,1523.67277
133.398604,1,0,0,0,1523.67277
133.598602,1,0,0,0,1523.67277
133.7986,1,0,0,0,1523.67277
133.998598,1,0,0,0,1523.67277
134.198596,1,0,0,0,1523.67107
134.398593,1,0,0,0,1523.67277
134.598591,1,0,0,0,1523.67107
134.798589,1,0,0,0,1523.67107
134.998587,1,0,0,0,1523.67088
135.198585,1,0,0,0,1523.67277
135.398583,1,0,0,0,1523.67277
135.598581,1,0,0,0,1523.67107
135.798579,1,0,0,0,1523.67277
135.998577,1,0,0,0,1523.67277
136.198575,1,0,0,0,1523.67277
136.398572,1,0,0,0,1523.67654
136.59857,1,0,0,0,1523.67107
136.798568,1,0,0,0,1523.67107
136.998566,1,0,0,0,1523.67277
137.198564,1,0,0,0,1523.67277
137.398562,1,0,0,0,1523.67277
137.59856,1,0,0,0,1523.67277
137.798558,1,0,0,0,1523.67107
137.998556,1,0,0,0,1523.67089
138.198554,1,0,0,0,1523.67089
138.398552,1,0,0,0,1523.67107
138.59855,1,0,0,0,1523.67108
138.798548,1,0,0,0,1523.66919
138.998545,1,0,0,0,1523.67466
139.198543,1,0,0,0,1523.67466
139.398541,1,0,0,0,1523.67278
139.598539,1,0,0,0,1523.67108
139.798537,1,0,0,0,1523.67108
139.998535,1,0,0,0,1523.67467
140.198533,1,0,0,0,1523.67278
140.398531,1,0,0,0,1523.67278
140.598529,1,0,0,0,1523.67108
140.798527,1,0,0,0,1523.67278
140.998524,1,0,0,0,1523.67278
141.198523,1,0,0,0,1523.67278
141.39852,1,0,0,0,1523.67108
141.598518,1,0,0,0,1523.67467
141.798516,1,0,0,0,1523.67278
141.998514,1,0,0,0,1523.67656
142.198512,1,0,0,0,1523.67278
142.39851,1,0,0,0,1523.67278
142.598508,1,0,0,0,1523.67278
142.798506,1,0,0,0,1523.67278
142.998503,1,0,0,0,1523.67467
143.198501,1,0,0,0,1523.67278
143.398499,1,0,0,0,1523.67278
143.598497,1,0,0,0,1523.67467
143.798495,1,0,0,0,1523.67467
143.998493,1,0,0,0,1523.67467
144.198491,1,0,0,0,1523.67637
144.398489,1,0,0,0,1523.67448
144.598487,1,0,0,0,1523.67467
144.798485,1,0,0,0,1523.67486
144.998483,1,0,0,0,1523.67278
145.19848,1,0,0,0,1523.67486
145.398478,1,0,0,0,1523.67486
145.598476,1,0,0,0,1523.67278
145.798474,1,0,0,0,1523.67637
145.998472,1,0,0,0,1523.67467
